WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
----- ------------------------------ ---- -----------------------------
08535 LISBOA GEOFISICA               2003 12
08535 LISBOA GEOFISICA               1998 12
08535 LISBOA GEOFISICA               1995 1
10147 HAMBURG FUHLSBUETTEL           2001 12
10393 LINDENBERG                     2004 12
10393 LINDENBERG                     2003 12
10393 LINDENBERG                     2001 12
10962 HOHENPEISSENBERG               2003 12
10962 HOHENPEISSENBERG               1995 1
11146 SONNBLICK                      1999 12
07255 BOURGES                        2005 5
07255 BOURGES                        2003 12
07255 BOURGES                        1997 12
07630 TOULOUSE BLAGNAC               1998 12
07630 TOULOUSE BLAGNAC               1997 12
07650 MARSEILLE MARIGNANE            2005 5
07650 MARSEILLE MARIGNANE            1998 12
08027 SAN SEBASTIAN IGUELO           1995 1
08181 BARCELONA AP EL PRAT           1995 1
08202 SALAMANCA MATACAN              2003 12
08202 SALAMANCA MATACAN              2002 12
08215 NAVACERRADA                    1999 12
08410 CORDOBA                        1999 12
08522 FUNCHAL MDE                    2002 12
08522 FUNCHAL MDE                    1995 1
04360 ANGMAGSSALIK                   2003 12
04360 ANGMAGSSALIK                   1995 1
17062 ISTANBUL GOZTEPE               2003 12
17062 ISTANBUL GOZTEPE               1997 12
24266 VERHOJANSK                     1999 12
24266 VERHOJANSK                     1998 12
30554 BAGDARIN                       2005 5
30554 BAGDARIN                       2002 12
30554 BAGDARIN                       2001 12
30554 BAGDARIN                       1996 12
61612 PODOR                          2003 12
61612 PODOR                          2001 12
72768 GLASGOW INTL AP                1998 12
82410 BENJAMIN CONSTANT              2004 12
82410 BENJAMIN CONSTANT              2003 12
91954 TUBUAI                         2000 12
98429 NINOY AQUINO                   1998 12
04390 PRINS CHRISTIAN SUND           2001 12
06011 THORSHAVN                      2000 12
06186 KOBENHAVN                      1997 12
06186 KOBENHAVN                      1996 12
01028 BJORNOYA                       2002 12
01152 BODO VI                        2002 12
01152 BODO VI                        2001 12
02128 GUNNARN                        2004 12
02128 GUNNARN                        2003 12
02226 OSTERSUND/FROSON               1999 12
02361 HARNOSAND                      1998 12
02418 KARLSTAD FP                    1995 1
02485 STOCKHOLM                      2000 12
02485 STOCKHOLM                      1996 12
02512 GOTEBORG/SAVE                  2004 12
02550 JONKOPING/AXAMO                1995 1
02836 SODANKYLA                      1999 12
02935 JYVASKYLA                      2002 12
02935 JYVASKYLA                      1999 12
02963 JOKIOINEN                      2000 12
03005 LERWICK                        1997 12
03026 STORNOWAY                      1997 12
03026 STORNOWAY                      1996 12
03162 ESKDALEMUIR                    2000 12
03302 VALLEY                         2003 12
03302 VALLEY                         2002 12
03302 VALLEY                         1995 1
03377 WADDINGTON                     2001 12
03377 WADDINGTON                     1998 12
03808 CAMBORNE                       2002 12
03953 VALENTIA OBSERVATORY           2005 5
03953 VALENTIA OBSERVATORY           1997 12
03980 MALIN HEAD                     2000 12
04063 AKUREYRI                       1997 12
04250 GODTHAB NUUK                   2004 12
91334 TRUK, CRL                      1996 12
91334 TRUK, CRL                      1995 1
91348 PONAPE, CRL                    1999 12
91348 PONAPE, CRL                    1996 12
91366 KWAJALEIN, MHL                 2003 12
91366 KWAJALEIN, MHL                 1997 12
91376 MAJURO, MHL                    2003 12
91376 MAJURO, MHL                    2000 12
91408 KOROR, PLW                     2000 12
91408 KOROR, PLW                     1995 1
91413 YAP, CRL                       2004 12
91413 YAP, CRL                       2002 12
91413 YAP, CRL                       1996 12
91780 VAVAU                          1998 12
94101 KALUMBURU                      2000 12
94259 BURKETOWN                      1997 12
94275 GEORGETOWN                     2001 12
94275 GEORGETOWN                     2000 12
94275 GEORGETOWN                     1999 12
94340 RICHMOND                       1995 1
94480 MARREE                         1995 1
94517 ST GEORGE                      2001 2
94541 INVERELL                       2001 2
94601 CAPE LEEUWIN                   2002 12
94601 CAPE LEEUWIN                   2000 12
94626 CUNDERDIN                      1995 1
94689 BROKEN HILL                    1996 12
94842 CAPE OTWAY                     1999 12
94842 CAPE OTWAY                     1997 12
94869 DENILIQUIN                     2000 12
95322 RABBIT FLAT                    1999 12
95646 FORREST AIRPORT AWS            2002 12
95646 FORREST AIRPORT AWS            2001 12
95719 DUBBO                          1997 12
95753 RICHMOND AWS                   1995 1
95916 CABRAMURRA                     1996 12
95964 LOW HEAD                       1999 12
02120 KVIKKJOKK-ARRENJARKA           1998 12
02410 MALUNG                         1995 1
62420 BAHARIA                        1997 12
62420 BAHARIA                        1996 12
62420 BAHARIA                        1995 1
62463 HURGUADA                       1995 1
71074 ISACHSEN (AUT), NT             2000 12
71074 ISACHSEN (AUT), NT             1998 12
71721 MANIWAKI (AUT), QC             1999 10
71918 PELLY BAY, NT                  2000 7
91165 LIHUE WSO AP 1020.1            1996 12
91165 LIHUE WSO AP 1020.1            1995 1
02288 HOLMOGADD                      2003 12
07130 RENNES                         1996 12
07560 MONT AIGOUAL                   1998 12
07560 MONT AIGOUAL                   1995 1
98444 LEGASPI                        2002 12
98444 LEGASPI                        1997 12
98836 ZAMBOANGA                      1995 1
94332 MT ISA AIRPOR                  1999 12
94346 LONGREACH AIRPORT              2003 12
94346 LONGREACH AIRPORT              1996 12
94367 MACKAY                         2005 5
94380 GLADSTONE                      1998 12
94380 GLADSTONE                      1997 12
94403 GERALDTON AP                   2001 12
94510 CHARLEVILLE AP                 2000 12
94510 CHARLEVILLE AP                 1997 12
94510 CHARLEVILLE AP                 1996 12
94637 KALGOORLIE BOULDER AMO         1996 12
94638 ESPERANCE                      2002 12
94693 MILDURA AP                     1997 12
94711 COBAR                          2000 12
94802 ALBANY AP                      2005 5
94802 ALBANY AP                      2002 12
94907 EAST SALE AD                   2004 12
94907 EAST SALE AD                   2000 12
94998 MACQUARIE ISLAND               2002 12
94998 MACQUARIE ISLAND               2001 12
96441 BINTULU                        1998 12
96465 LABUAN                         2003 12
96465 LABUAN                         1997 12
96491 SANDAKAN                       1999 12
96745 JAKARTA OBS, JAW               1999 12
96996 COCOS ISLAND AMO CCK           1999 12
