WMOID  STATION NAME                   COUNTRY                                            STATE                          COUNTY                         CD LATITUDE LONGITUDE ELEVATION
------ ------------------------------ -------------------------------------------------- ------------------------------ ------------------------------ -- -------- --------- ---------
01001  JAN MAYEN                      NORWAY                                                                                                                  7056      -840         9
01008  SVALBARD LUFTHAVN              NORWAY                                                                                                                  7815      1528        29
01028  BJORNOYA                       NORWAY                                                                                                                  7431      1901        16
01098  VARDO                          NORWAY                                                                                                                  7022      3106        15
01152  BODO VI                        NORWAY                                                                                                                  6716      1422        13
01212  ONA II                         NORWAY                                                                                                                  6252       632        15
01238  FOKSTUA II                     NORWAY                                                                                                                  6207       917       974
01403  UTSIRA FYR                     NORWAY                                                                                                                  5918       453        56
01465  TORUNGEN FYR                   NORWAY                                                                                                                  5823       848        15
02080  KARESUANDO                     SWEDEN                                                                                                                  6827      2227       331
02120  KVIKKJOKK-ARRENJARKA           SWEDEN                                                                                                                  6653      1801       315
02127  STENSELE                       SWEDEN                                                                                                                   654      1710     -9999
02128  GUNNARN                        SWEDEN                                                                                                                  6458      1742       281
02196  HAPARANDA                      SWEDEN                                                                                                                  6550      2409         6
02226  OSTERSUND/FROSON               SWEDEN                                                                                                                  6311      1430       376
02288  HOLMOGADD                      SWEDEN                                                                                                                  6336      2046         6
02361  HARNOSAND                      SWEDEN                                                                                                                  6237      1757         8
02410  MALUNG                         SWEDEN                                                                                                                  6041      1342       308
02418  KARLSTAD FP                    SWEDEN                                                                                                                  5922      1328       100
02485  STOCKHOLM                      SWEDEN                                                                                                                  5921       184        52
02512  GOTEBORG/SAVE                  SWEDEN                                                                                                                  5746      1152        16
02550  JONKOPING/AXAMO                SWEDEN                                                                                                                  5745       144       224
02584  GOTSKA SANDON                  SWEDEN                                                                                                                  5824      1912        12
02590  VISBY                          SWEDEN                                                                                                                  5740      1821        47
02836  SODANKYLA                      SWEDEN                                                                                                                  6722      2639       179
02935  JYVASKYLA                      SWEDEN                                                                                                                  6224      2541       145
02963  JOKIOINEN                      SWEDEN                                                                                                                  6049      2330       103
03005  LERWICK                        UNITED KINGDOM                                                                                                          6008      -111        84
03026  STORNOWAY                      UNITED KINGDOM                                                                                                          5813      -619        13
03162  ESKDALEMUIR                    UNITED KINGDOM                                                                                                          5519      -312     -9999
03302  VALLEY                         UNITED KINGDOM                                                                                                          5315      -432        10
03377  WADDINGTON                     UNITED KINGDOM                                                                                                          5310      -031        68
03808  CAMBORNE                       UNITED KINGDOM                                                                                                          5013      -519        88
03953  VALENTIA OBSERVATORY           IRELAND                                                                                                                 5156     -1015        30
03980  MALIN HEAD                     IRELAND                                                                                                                 5522      -720        25
04013  STYKKISHOLMUR                  ICELAND                                                                                                                 6505     -2244         8
04048  VESTMANNAEYJAR                 ICELAND                                                                                                                 6324     -2017       124
04063  AKUREYRI                       ICELAND                                                                                                                 6541     -1805        27
04210  UPERNAVIK                      DENMARK                                                                                                                 7247     -5610       120
04250  GODTHAB NUUK                   DENMARK                                                                                                                 6410     -5145        84
04320  DANMARKSHAVN                   DENMARK                                                                                                                 7646     -1840        12
04360  ANGMAGSSALIK                   DENMARK                                                                                                                 6536     -3738        52
04390  PRINS CHRISTIAN SUND           DENMARK                                                                                                                 6003     -4310         5
06011  THORSHAVN                      DENMARK                                                                                                                 6201      -646        61
06186  KOBENHAVN                      DENMARK                                                                                                                 5541      1233     -9999
06260  DE BILT                        NETHERLANDS                                                                                                             5206       511         4
06680  SAENTIS                        SWITZERLAND                                                                                                             4715       921      2500
07130  RENNES                         FRANCE                                                                                                                  4804      -144        43
07190  STRASBOURG                     FRANCE                                                                                                                  4833       735       153
07255  BOURGES                        FRANCE                                                                                                                  4704      0222       166
07560  MONT AIGOUAL                   FRANCE                                                                                                                  4401       335      1565
07630  TOULOUSE BLAGNAC               FRANCE                                                                                                                  4338       122       154
07650  MARSEILLE MARIGNANE            FRANCE                                                                                                                  4327       514        32
08027  SAN SEBASTIAN IGUELO           SPAIN                                                                                                                   4318      -202       259
08181  BARCELONA AP EL PRAT           SPAIN                                                                                                                   4118       205         6
08202  SALAMANCA MATACAN              SPAIN                                                                                                                   4057      -530        95
08215  NAVACERRADA                    SPAIN                                                                                                                   4047      -401      1888
08280  ALBACETE LOS LLANOS            SPAIN                                                                                                                   3857      -152         4
08410  CORDOBA                        SPAIN                                                                                                                   3751      -451        92
08506  HORTA                          PORTUGAL                                                                                                                3831     -2838        62
08513  PONTA DELGADA                  PORTUGAL                                                                                                                3745     -2540        36
08522  FUNCHAL MDE                    PORTUGAL                                                                                                                 328     -1654        56
08535  LISBOA GEOFISICA               PORTUGAL                                                                                                                3843      -909        95
08583  MINDELO                        CAPE VERDE                                                                                                              1653     -2500        63
10147  HAMBURG FUHLSBUETTEL           GERMANY                                                                                                                 5338       959        15
10393  LINDENBERG                     GERMANY                                                                                                                 5213      1407       104
10962  HOHENPEISSENBERG               GERMANY                                                                                                                 4748      1101       986
11012  KREMSMUENSTER                  AUSTRIA                                                                                                                 4803      1408       389
11035  WIEN/HOHE WARTE                AUSTRIA                                                                                                                 4815      1622       200
11146  SONNBLICK                      AUSTRIA                                                                                                                 4703      1257      3111
11464  MILESOVKA                      CZECH REPUBLIC                                                                                                          5033      1356       836
11934  POPRAD TATRY                   SLOVAKIA                                                                                                                4904      2015       696
12120  LEBA                           POLAND                                                                                                                  5445      1732         6
12385  SIEDLCE                        POLAND                                                                                                                  5211      2216       155
12942  PECS                           HUNGARY                                                                                                                 4600      1814       203
15085  BISTRITA                       ROMANIA                                                                                                                 4709      2431       367
15280  VF. OMU                        ROMANIA                                                                                                                 4527      2527      2509
15360  SULINA                         ROMANIA                                                                                                                 4509      2940         9
16134  MONTE CIMONE                   ITALY                                                                                                                   4412      1042      2173
16224  VIGNA DI VALLE                 ITALY                                                                                                                    424      1213       266
16258  MONTE S. ANGELO                ITALY                                                                                                                    410      1557       844
16597  LUQA                           MALTA                                                                                                                   3551      1429     -9999
16641  KERKYRA                        GREECE                                                                                                                  3937      1955         4
16723  SAMOS                          GREECE                                                                                                                  3742      2655         7
16734  METHONI                        GREECE                                                                                                                  3650      2142        34
